                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.77483,                0.76544,                0.84968,                0.72537,                0.96986,                0.76433,                0.62377,                0.67463,                0.61158,                0.82679,               0.004159,               0.004159,               0.004159
                     61,                0.77172,                0.75554,                0.84707,                0.72566,                0.96963,                0.76418,                 0.6236,                0.67389,                0.61072,                0.82671,                0.00406,                0.00406,                0.00406
                     62,                0.77308,                0.75615,                0.84798,                0.72531,                0.96958,                0.76344,                0.62341,                0.67298,                0.61033,                0.82656,               0.003961,               0.003961,               0.003961
                     63,                0.77468,                0.75305,                0.84699,                 0.7244,                 0.9729,                0.76354,                0.62354,                 0.6722,                0.60984,                0.82649,               0.003862,               0.003862,               0.003862
                     64,                0.76938,                0.75149,                0.84708,                0.72394,                0.97504,                0.76356,                0.62425,                0.67141,                0.60933,                0.82634,               0.003763,               0.003763,               0.003763
                     65,                0.77195,                 0.7531,                0.84935,                0.72517,                0.97354,                0.76297,                0.62384,                0.67056,                0.60849,                0.82618,               0.003664,               0.003664,               0.003664
                     66,                0.76405,                0.75176,                0.84673,                0.72463,                0.97429,                 0.7624,                0.62399,                0.66969,                0.60777,                0.82597,               0.003565,               0.003565,               0.003565
                     67,                0.76147,                 0.7484,                0.84501,                0.72537,                0.97418,                0.76251,                 0.6242,                0.66905,                0.60758,                0.82583,               0.003466,               0.003466,               0.003466
                     68,                0.76496,                0.74819,                 0.8478,                0.72499,                0.97393,                0.76292,                 0.6247,                0.66835,                0.60698,                0.82572,               0.003367,               0.003367,               0.003367
                     69,                 0.7591,                0.73931,                0.84494,                0.72597,                0.97307,                0.76292,                0.62541,                0.66753,                0.60641,                0.82562,               0.003268,               0.003268,               0.003268
                     70,                 0.7552,                0.73834,                0.84476,                 0.7254,                0.97452,                 0.7637,                0.62579,                0.66641,                0.60552,                0.82543,               0.003169,               0.003169,               0.003169
                     71,                0.75276,                0.74004,                0.84381,                0.72578,                0.97452,                0.76401,                0.62607,                0.66553,                0.60481,                0.82528,                0.00307,                0.00307,                0.00307
                     72,                0.75363,                0.72672,                0.84624,                0.72606,                0.97413,                0.76371,                0.62619,                0.66443,                0.60405,                0.82509,               0.002971,               0.002971,               0.002971
                     73,                0.75473,                0.73002,                 0.8474,                0.72615,                0.97447,                0.76451,                0.62693,                0.66366,                0.60354,                0.82495,               0.002872,               0.002872,               0.002872
                     74,                0.74835,                0.73558,                0.84351,                0.72654,                0.97429,                0.76492,                0.62751,                0.66229,                0.60318,                0.82468,               0.002773,               0.002773,               0.002773
                     75,                0.74945,                0.72705,                0.84276,                0.72629,                0.97505,                0.76565,                 0.6283,                0.66131,                0.60222,                0.82453,               0.002674,               0.002674,               0.002674
                     76,                0.74886,                0.73891,                 0.8437,                0.72644,                0.97546,                0.76576,                0.62867,                0.66054,                0.60128,                0.82436,               0.002575,               0.002575,               0.002575
                     77,                0.74615,                0.72659,                0.84498,                 0.7264,                0.97602,                0.76536,                0.62875,                0.65996,                 0.6008,                0.82416,               0.002476,               0.002476,               0.002476
                     78,                0.74392,                0.71407,                 0.8425,                0.72677,                0.97626,                0.76505,                0.62855,                0.65916,                0.60007,                0.82407,               0.002377,               0.002377,               0.002377
                     79,                0.73947,                0.70897,                0.84274,                0.72672,                0.97696,                0.76554,                0.62903,                0.65851,                0.59954,                0.82398,               0.002278,               0.002278,               0.002278
                     80,                0.73669,                0.71286,                0.84165,                0.72655,                0.97756,                0.76577,                0.62987,                0.65765,                0.59923,                0.82374,               0.002179,               0.002179,               0.002179
                     81,                0.73487,                0.70214,                0.84025,                0.72724,                0.97647,                0.76597,                0.63061,                0.65654,                0.59879,                0.82362,                0.00208,                0.00208,                0.00208
